repository,commit_id,files_changed,lines_added,lines_deleted,total_changes,dependency_file_changed,test_file_changed,workflow_changed,source_file_changed,changed_files
spring-projects/spring-petclinic,2ace55403599d6c33810e6ff2975d51a4836a0e1,1,5,2,7,0,0,0,1,src/main/java/org/springframework/samples/petclinic/model/Person.java
spring-projects/spring-petclinic,a6efbed773f61a271c071461326940786998722e,1,23,3,26,0,1,0,1,src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java
spring-projects/spring-petclinic,a6efbed773f61a271c071461326940786998722e,1,23,3,26,0,1,0,1,src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java
spring-projects/spring-petclinic,c513a98b16cb4ee1059e89a23790d8a93a728f1f,1,23,3,26,0,1,0,1,src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java
spring-projects/spring-petclinic,c513a98b16cb4ee1059e89a23790d8a93a728f1f,1,23,3,26,0,1,0,1,src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java
spring-projects/spring-petclinic,b592b1cc3bd6d4006e9972755bcb67c4b35660d0,3,10,3,13,0,1,0,1,"src/test/java/org/springframework/samples/petclinic/owner/OwnerControllerTests.java,src/test/java/org/springframework/samples/petclinic/owner/PetTypeFormatterTests.java,src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java"
spring-projects/spring-petclinic,e49b1dab05c7e9de28bfbc9c7c021f121864a30f,1,31,0,31,0,1,0,1,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java
spring-projects/spring-petclinic,e49b1dab05c7e9de28bfbc9c7c021f121864a30f,1,31,0,31,0,1,0,1,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java
spring-projects/spring-petclinic,978ee9d6a413404ffa337032b4e28d14a179675b,1,1,1,2,0,0,0,0,src/main/resources/messages/messages.properties
spring-projects/spring-petclinic,c7ee170434ec3e369fdc9201290ba2ea4c92b557,3,4,3,7,0,0,0,1,"src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java"
spring-projects/spring-petclinic,c7ee170434ec3e369fdc9201290ba2ea4c92b557,3,4,3,7,0,0,0,1,"src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java"
spring-projects/spring-petclinic,f1e0e22b883e185e680d44b264fb73a8efcff8b9,1,2,0,2,0,0,0,0,src/main/resources/application.properties
spring-projects/spring-petclinic,f1e0e22b883e185e680d44b264fb73a8efcff8b9,1,2,0,2,0,0,0,0,src/main/resources/application.properties
spring-projects/spring-petclinic,ce11ed8df831bf6657229e8e5ef589f893f70538,2,49,1,50,0,0,1,0,".github/workflows/pr.yaml,Dockerfile"
spring-projects/spring-petclinic,b1a30a63afe66893653f399c088e7a93c3bdfd85,2,10,14,24,0,0,1,0,".github/workflows/maven.yaml,.github/workflows/pr.yaml"
spring-projects/spring-petclinic,4fef4346eb0421a4b087d0e5ba244fc260f5d40b,1,2,2,4,0,0,0,1,src/main/java/org/springframework/samples/petclinic/owner/PetController.java
